fichier;temps..s.;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;145.6159973;-0.598430157;0.019905688;3.094795227;0.053633835;10.43194103;0.124915622;46951.78125;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;146.2335968;3.681068897;0.032805406;3.690439701;0.03582627;10.57611656;0.08835236;45682.63281;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;179.7023926;-0.394203275;0.002050161;-1.910080671;0.003811904;0.884712875;0.016008858;40091.23438;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;239.6063995;-0.395006359;0.002110008;-1.911594629;0.003808026;0.860951602;0.01500293;40087.34375;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;299.5935974;-0.395791948;0.002019161;-1.911753178;0.00343414;0.870149612;0.014899536;40073.84766;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;359.5168152;-0.393965214;0.002016589;-1.91183579;0.003425538;0.876035333;0.014848323;40098.52344;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;419.3215942;-0.39584583;0.002017688;-1.908897758;0.003428403;0.870123327;0.014881293;40075.12109;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;479.2224121;-0.396034986;0.002072661;-1.908600926;0.003591527;0.851863623;0.015052665;40024.29297;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;524.3391724;5.309999466;0.201505676;0.179609254;0.022682428;0.541059911;0.049851499;27412.36719;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;524.4575806;17.04993629;1.057146549;1.767353058;0.101615176;3.737881899;0.191257253;30773.73828;20180710_104_red67
